step,split,loss
1050,train,1.177099
1051,train,1.182563
1052,train,1.184662
1053,train,1.162551
1054,train,1.178658
1055,train,1.169920
1056,train,1.171992
1057,train,1.205390
1058,train,1.166288
1059,train,1.195701
1060,train,1.185343
1061,train,1.186508
1062,train,1.182870
1063,train,1.164435
1064,train,1.169896
1065,train,1.176164
1066,train,1.180840
1067,train,1.162074
1068,train,1.184351
1069,train,1.149103
1070,train,1.179646
1071,train,1.196292
1072,train,1.156008
1073,train,1.169021
1074,train,1.142059
1075,train,1.170695
1076,train,1.161509
1077,train,1.159769
1078,train,1.180892
1079,train,1.180514
1080,train,1.181004
1081,train,1.171460
1082,train,1.190935
1083,train,1.169319
1084,train,1.168257
1085,train,1.151032
1086,train,1.158875
1087,train,1.167659
1088,train,1.171889
1089,train,1.188740
1090,train,1.180770
1091,train,1.164109
1092,train,1.146441
1093,train,1.153553
1094,train,1.135113
1095,train,1.137268
1096,train,1.166042
1097,train,1.156422
1098,train,1.154711
1099,train,1.167571
1100,train,1.179154
1100,val,1.161197
1101,train,1.158937
1102,train,1.166911
1103,train,1.149647
1104,train,1.119376
1105,train,1.153101
1106,train,1.155031
1107,train,1.158301
1108,train,1.162435
1109,train,1.146142
1110,train,1.143715
1111,train,1.143479
1112,train,1.155019
1113,train,1.171067
1114,train,1.148003
1115,train,1.127779
1116,train,1.188313
1117,train,1.153072
1118,train,1.157059
1119,train,1.153705
1120,train,1.163878
1121,train,1.158853
1122,train,1.152822
1123,train,1.138200
1124,train,1.137232
1125,train,1.148260
1126,train,1.139274
1127,train,1.163671
1128,train,1.166906
1129,train,1.148829
1130,train,1.152066
1131,train,1.154080
1132,train,1.148229
1133,train,1.158444
1134,train,1.144924
1135,train,1.148020
1136,train,1.153427
1137,train,1.137921
1138,train,1.162289
1139,train,1.162964
1140,train,1.175475
1141,train,1.135234
1142,train,1.152426
1143,train,1.143767
1144,train,1.165148
1145,train,1.135330
1146,train,1.134327
1147,train,1.157524
1148,train,1.148620
1149,train,1.143877
1150,train,1.143209
1151,train,1.151292
1152,train,1.173586
1153,train,1.145226
1154,train,1.160894
1155,train,1.110274
1156,train,1.157004
1157,train,1.130638
1158,train,1.144240
1159,train,1.133989
1160,train,1.139338
1161,train,1.162759
1162,train,1.135945
1163,train,1.136993
1164,train,1.130432
1165,train,1.119410
1166,train,1.132090
1167,train,1.119034
1168,train,1.153570
1169,train,1.123732
1170,train,1.144033
1171,train,1.136136
1172,train,1.122685
1173,train,1.132381
1174,train,1.121897
1175,train,1.129741
1176,train,1.139272
1177,train,1.150951
1178,train,1.159760
1179,train,1.144504
1180,train,1.145163
1181,train,1.155770
1182,train,1.116879
1183,train,1.121025
1184,train,1.163400
1185,train,1.155478
1186,train,1.145237
1187,train,1.161072
1188,train,1.127262
1189,train,1.153244
1190,train,1.145071
1191,train,1.140829
1192,train,1.113422
1193,train,1.117121
1194,train,1.138090
1195,train,1.159084
1196,train,1.124341
1197,train,1.132817
1198,train,1.135954
1199,train,1.128938
1200,train,1.137657
1200,val,1.131955
1201,train,1.132375
1202,train,1.148170
1203,train,1.125179
1204,train,1.137687
1205,train,1.112061
1206,train,1.138359
1207,train,1.127950
1208,train,1.116629
1209,train,1.147200
1210,train,1.150478
1211,train,1.096874
1212,train,1.146736
1213,train,1.130412
1214,train,1.146040
1215,train,1.140983
1216,train,1.114232
1217,train,1.140604
1218,train,1.111346
1219,train,1.133486
1220,train,1.122758
1221,train,1.123875
1222,train,1.141815
1223,train,1.120734
1224,train,1.122959
1225,train,1.159168
1226,train,1.086846
1227,train,1.118990
1228,train,1.139912
1229,train,1.119489
1230,train,1.130675
1231,train,1.120965
1232,train,1.137543
1233,train,1.131372
1234,train,1.138585
1235,train,1.127289
1236,train,1.131156
1237,train,1.106333
1238,train,1.097402
1239,train,1.133539
1240,train,1.112944
1241,train,1.114461
1242,train,1.150742
1243,train,1.105341
1244,train,1.129834
1245,train,1.114609
1246,train,1.167693
1247,train,1.139402
1248,train,1.130579
1249,train,1.108438
1250,train,1.111192
1251,train,1.118462
1252,train,1.122500
1253,train,1.135369
1254,train,1.124035
1255,train,1.108397
1256,train,1.092728
1257,train,1.106479
1258,train,1.113505
1259,train,1.129410
1260,train,1.105859
1261,train,1.124781
1262,train,1.099729
1263,train,1.119241
1264,train,1.094213
1265,train,1.096979
1266,train,1.099147
1267,train,1.096346
1268,train,1.084264
1269,train,1.091232
1270,train,1.112299
1271,train,1.088461
1272,train,1.126870
1273,train,1.109768
1274,train,1.119238
1275,train,1.113380
1276,train,1.111511
1277,train,1.106308
1278,train,1.104516
1279,train,1.114749
1280,train,1.121714
1281,train,1.122821
1282,train,1.122338
1283,train,1.100885
1284,train,1.126333
1285,train,1.102283
1286,train,1.111343
1287,train,1.106469
1288,train,1.122641
1289,train,1.124194
1290,train,1.102097
1291,train,1.106917
1292,train,1.118494
1293,train,1.126821
1294,train,1.110554
1295,train,1.110953
1296,train,1.076227
1297,train,1.104166
1298,train,1.106825
1299,train,1.102582
1300,train,1.105344
1300,val,1.102994
1301,train,1.096767
1302,train,1.085089
1303,train,1.087390
1304,train,1.091936
1305,train,1.097663
1306,train,1.101537
1307,train,1.114245
1308,train,1.103551
1309,train,1.109517
1310,train,1.106179
1311,train,1.104050
1312,train,1.136348
1313,train,1.094129
1314,train,1.091107
1315,train,1.107669
1316,train,1.106938
1317,train,1.102666
1318,train,1.071456
1319,train,1.116464
1320,train,1.102574
1321,train,1.109333
1322,train,1.087665
1323,train,1.118547
1324,train,1.108797
1325,train,1.096959
1326,train,1.092740
1327,train,1.084262
1328,train,1.100931
1329,train,1.096216
1330,train,1.091256
1331,train,1.100042
1332,train,1.063002
1333,train,1.080586
1334,train,1.105565
1335,train,1.076689
1336,train,1.087623
1337,train,1.105845
1338,train,1.113404
1339,train,1.104738
1340,train,1.081041
1341,train,1.079204
1342,train,1.088738
1343,train,1.091600
1344,train,1.107137
1345,train,1.072881
1346,train,1.078572
1347,train,1.082373
1348,train,1.089834
1349,train,1.111017
1350,train,1.098710
1351,train,1.094225
1352,train,1.094741
1353,train,1.117456
1354,train,1.097879
1355,train,1.100465
1356,train,1.082820
1357,train,1.095680
1358,train,1.099430
1359,train,1.069923
1360,train,1.081963
1361,train,1.094123
1362,train,1.089156
1363,train,1.108764
1364,train,1.080397
1365,train,1.051594
1366,train,1.100345
1367,train,1.135328
1368,train,1.081138
1369,train,1.106887
1370,train,1.102215
1371,train,1.088803
1372,train,1.072927
1373,train,1.090686
1374,train,1.095399
1375,train,1.086737
1376,train,1.103514
1377,train,1.109894
1378,train,1.110503
1379,train,1.115444
1380,train,1.094975
1381,train,1.090564
1382,train,1.075178
1383,train,1.095960
1384,train,1.080570
1385,train,1.096644
1386,train,1.072041
1387,train,1.092410
1388,train,1.081667
1389,train,1.083402
1390,train,1.089993
1391,train,1.083154
1392,train,1.110499
1393,train,1.097873
1394,train,1.084168
1395,train,1.071972
1396,train,1.090876
1397,train,1.087056
1398,train,1.084510
1399,train,1.083430
1400,train,1.100938
1400,val,1.082787
1401,train,1.084276
1402,train,1.091647
1403,train,1.081076
1404,train,1.071315
1405,train,1.088387
1406,train,1.071667
1407,train,1.086398
1408,train,1.076681
1409,train,1.097624
1410,train,1.067067
1411,train,1.077838
1412,train,1.119868
1413,train,1.094081
1414,train,1.098449
1415,train,1.103479
1416,train,1.088208
1417,train,1.086090
1418,train,1.084796
1419,train,1.101267
1420,train,1.095349
1421,train,1.088693
1422,train,1.063344
1423,train,1.072767
1424,train,1.079067
1425,train,1.080669
1426,train,1.089502
1427,train,1.085304
1428,train,1.099237
1429,train,1.116040
1430,train,1.094279
1431,train,1.089449
1432,train,1.078189
1433,train,1.076537
1434,train,1.094458
1435,train,1.087867
1436,train,1.057205
1437,train,1.098486
1438,train,1.089197
1439,train,1.073327
1440,train,1.069773
1441,train,1.081416
1442,train,1.072176
1443,train,1.087179
1444,train,1.083805
1445,train,1.075040
1446,train,1.090426
1447,train,1.089365
1448,train,1.073998
1449,train,1.066060
1450,train,1.084691
1451,train,1.099211
1452,train,1.052635
1453,train,1.105744
1454,train,1.078508
1455,train,1.077257
1456,train,1.106546
1457,train,1.073361
1458,train,1.078319
1459,train,1.066355
1460,train,1.096676
1461,train,1.070700
1462,train,1.087945
1463,train,1.078374
1464,train,1.068763
1465,train,1.080812
1466,train,1.076939
1467,train,1.080234
1468,train,1.064323
1469,train,1.067867
1470,train,1.053419
1471,train,1.090698
1472,train,1.092036
1473,train,1.075458
1474,train,1.084193
1475,train,1.098223
1476,train,1.044860
1477,train,1.063286
1478,train,1.089401
1479,train,1.091971
1480,train,1.067657
1481,train,1.083220
1482,train,1.068940
